Antecedent,Consequent,Support,Confidence,Lift
CROP_ChickPea,"Humidity_Low, Potassium_High",0.0455,1.0,22.0
"Humidity_Low, Potassium_High",CROP_ChickPea,0.0455,1.0,22.0
"Nitrogen_High, Phosphorus_High",CROP_Banana,0.0455,0.9174,20.1835
CROP_Banana,"Nitrogen_High, Phosphorus_High",0.0455,1.0,20.1835
"Phosphorus_Low, Potassium_Low",CROP_Orange,0.0455,0.7143,15.7143
CROP_Orange,"Phosphorus_Low, Potassium_Low",0.0455,1.0,15.7143
"Humidity_High, Phosphorus_High",CROP_Apple,0.0455,0.6623,14.5695
CROP_Apple,"Humidity_High, Phosphorus_High",0.0455,1.0,14.5695
"Humidity_High, Potassium_Low",CROP_Orange,0.0455,0.641,14.1026
CROP_Orange,"Humidity_High, Potassium_Low",0.0455,1.0,14.1026
"Nitrogen_High, Temperature_High",CROP_Muskmelon,0.04,0.55,12.1
CROP_Muskmelon,"Nitrogen_High, Temperature_High",0.04,0.88,12.1
CROP_Mango,"Humidity_Low, Phosphorus_Low",0.0414,0.91,11.5057
"Humidity_Low, Phosphorus_Low",CROP_Mango,0.0414,0.523,11.5057
"Humidity_High, Nitrogen_High",CROP_Muskmelon,0.0455,0.5208,11.4583
CROP_Muskmelon,"Humidity_High, Nitrogen_High",0.0455,1.0,11.4583
CROP_Mango,"Potassium_Med, Rainfall_Med",0.0455,1.0,10.7843
CROP_Watermelon,"Phosphorus_Low, Potassium_High",0.0455,1.0,10.4265
CROP_Muskmelon,"Phosphorus_Low, Potassium_High",0.0455,1.0,10.4265
CROP_Watermelon,"Potassium_High, Temperature_Med",0.0455,1.0,10.3286
CROP_Mango,"Potassium_Med, Temperature_High",0.0427,0.94,10.2376
CROP_Coconut,"Humidity_High, Potassium_Med",0.0455,1.0,9.8214
CROP_Mango,"Rainfall_Med, Temperature_High",0.0427,0.94,9.7089
CROP_Watermelon,"Phosphorus_Low, Rainfall_Low",0.0455,1.0,9.4421
CROP_Muskmelon,"Phosphorus_Low, Rainfall_Low",0.0455,1.0,9.4421
CROP_Muskmelon,"Humidity_High, Rainfall_Low",0.0455,1.0,9.4017
CROP_Rice,"Humidity_Med, Rainfall_High",0.0436,0.96,9.0644
CROP_Rice,"Humidity_Med, Potassium_Med",0.0409,0.9,9.0411
CROP_Watermelon,"Nitrogen_High, Rainfall_Low",0.0455,1.0,8.9431
CROP_Muskmelon,"Nitrogen_High, Rainfall_Low",0.0455,1.0,8.9431
CROP_Pomegranate,"Humidity_High, Potassium_Med",0.0414,0.91,8.9375
CROP_Mango,"Humidity_Low, Potassium_Med",0.0455,1.0,8.7649
CROP_Apple,"Humidity_High, Temperature_Low",0.0414,0.91,8.7424
CROP_Watermelon,"Rainfall_Low, Temperature_Med",0.0455,1.0,8.7302
CROP_MothBeans,"Humidity_Low, Rainfall_Low",0.0414,0.91,8.7043
CROP_Grapes,"Humidity_Med, Potassium_High",0.0455,1.0,8.5938
CROP_Mango,"Phosphorus_Low, Rainfall_Med",0.0414,0.91,8.5556
CROP_ChickPea,"Potassium_High, Temperature_Low",0.0455,1.0,8.5271
CROP_Banana,"Humidity_Med, Potassium_High",0.0436,0.96,8.25
CROP_MothBeans,"Humidity_Low, Phosphorus_Med",0.0405,0.89,8.1925
CROP_Coffee,"Nitrogen_High, Potassium_Med",0.0455,1.0,8.1181
CROP_Grapes,"Humidity_Med, Phosphorus_High",0.0455,1.0,7.9137
CROP_Coconut,"Phosphorus_Low, Rainfall_High",0.0455,1.0,7.8014
CROP_Apple,"Potassium_High, Temperature_Low",0.0414,0.91,7.7597
CROP_Jute,"Phosphorus_Med, Rainfall_High",0.0414,0.91,7.7597
CROP_Mango,"Humidity_Low, Temperature_High",0.0427,0.94,7.6593
CROP_Muskmelon,"Potassium_High, Temperature_High",0.04,0.88,7.6522
CROP_Banana,"Humidity_Med, Phosphorus_High",0.0436,0.96,7.5971
CROP_ChickPea,"Humidity_Low, Temperature_Low",0.0455,1.0,7.5862
CROP_Coffee,"Nitrogen_High, Rainfall_High",0.0455,1.0,7.4576
